x,x_ave,y,y_ave,z,z_ave
-2.6232108417497826,-2.613393743116654,4.793294287845666,4.824217281470406,13.824200820955364,13.846315469308701
-2.6232108417497826,-2.613103409826727,4.793294287845666,4.82362558069111,13.824200820955364,13.845756132887592
-2.6232108417497826,-2.612830500960961,4.793294287845666,4.823053355667427,13.824200820955364,13.845209094338689
-2.6232108417497826,-2.612575775518683,4.793294287845666,4.822500684263109,13.824200820955364,13.844674317586973
-2.6232108417497826,-2.6123399955384725,4.793294287845666,4.821967620618592,13.824200820955364,13.844151756833357
-2.617001422857157,-2.6121239251738975,4.787587349232291,4.8214541953055425,13.821590950954164,13.843641357238608
-2.617001422857157,-2.61192832973763,4.787587349232291,4.8209604155141905,13.821590950954164,13.843143055615679
-2.617001422857157,-2.6117539747154743,4.787587349232291,4.820486265273103,13.821590950954164,13.842656781128492
-2.617001422857157,-2.611601624751901,4.787587349232291,4.820031705701004,13.821590950954164,13.842182455995403
-2.617001422857157,-2.6114720426088605,4.787587349232291,4.819596675290173,13.821590950954164,13.841719996195344
-2.598642921167045,-2.6113659880996685,4.78403321667362,4.81918109022096,13.82623530009983,13.841269312174838
-2.598642921167045,-2.6112842169999384,4.78403321667362,4.818784844706834,13.82623530009983,13.840830309553985
-2.598642921167045,-2.61122747993757,4.78403321667362,4.818407811369374,13.82623530009983,13.840402889829567
-2.598642921167045,-2.61119652126393,4.78403321667362,4.818049841642571,13.82623530009983,13.839986951073428
-2.598642921167045,-2.6111920779084103,4.78403321667362,4.817710766205723,13.82623530009983,13.839582388624304
-2.598642921167045,-2.6112148782186697,4.78403321667362,4.81739039544421,13.82623530009983,13.839189095771328
-2.598642921167045,-2.6112656407889077,4.78403321667362,4.817088519937357,13.82623530009983,13.83880696442744
-2.598642921167045,-2.6113450732785775,4.78403321667362,4.816804910972551,13.82623530009983,13.838435885790982
-2.5905422752718477,-2.6114538712240414,4.785388922753214,4.816539321084773,13.830519907824009,13.838075750993818
-2.5905422752718477,-2.611592716845684,4.785388922753214,4.816291484620618,13.830519907824009,13.837726451734296
-2.5905422752718477,-2.6117622778530643,4.785388922753214,4.816061118325885,13.830519907824009,13.837387880893527
-2.5905422752718477,-2.6119632062507208,4.785388922753214,4.815847921955741,13.830519907824009,13.83705993313341
-2.5905422752718477,-2.61219613714728,4.785388922753214,4.815651578906474,13.830519907824009,13.836742505474955
-2.5905422752718477,-2.61246168757052,4.785388922753214,4.815471756867771,13.830519907824009,13.836435497855465
-2.5785703792503143,-2.6127604552910833,4.79024330748708,4.8153081084944755,13.836622848538893,13.836138813663279
-2.5785703792503143,-2.613093017657521,4.79024330748708,4.81516027209671,13.836622848538893,13.835852360248744
-2.5785703792503143,-2.6134599304453547,4.79024330748708,4.815027872347255,13.836622848538893,13.835576049410266
-2.574458876196093,-2.6138617267228335,4.793624506857764,4.814910521005012,13.838447333448137,13.835309797854288
-2.574458876196093,-2.614298915736048,4.793624506857764,4.814807817653426,13.838447333448137,13.83505352762814
-2.574458876196093,-2.614771981816035,4.793624506857764,4.814719350452633,13.838447333448137,13.834807166524815
-2.574458876196093,-2.615281383310482,4.793624506857764,4.814644696904163,13.838447333448137,13.83457064845877
